model_seed,gamma,amplification,step_to_watermark,match_percent,perplexity,z_score,source_file
1,0.025,0,50,0,0.0,0,unconditional_generation
1,0.025,0,50,0,0.0,0,unconditional_generation
2,0.025,0,50,0,0.0,0,unconditional_generation
2,0.025,0,50,0,0.0,0,unconditional_generation
3,0.025,0,50,0,0.0,0,unconditional_generation
3,0.025,0,50,0,0.0,0,unconditional_generation
4,0.025,0,50,0,0.0,0,unconditional_generation
4,0.025,0,50,0,0.0,0,unconditional_generation
5,0.025,0,50,0,0.0,0,unconditional_generation
5,0.025,0,50,0,0.0,0,unconditional_generation
6,0.025,0,50,0,0.0,0,unconditional_generation
6,0.025,0,50,0,0.0,0,unconditional_generation
7,0.025,0,50,0,0.0,0,unconditional_generation
7,0.025,0,50,0,0.0,0,unconditional_generation
8,0.025,0,50,0,0.0,0,unconditional_generation
8,0.025,0,50,0,0.0,0,unconditional_generation
9,0.025,0,50,0,0.0,0,unconditional_generation
9,0.025,0,50,0,0.0,0,unconditional_generation
10,0.025,0,50,0,0.0,0,unconditional_generation
10,0.025,0,50,0,0.0,0,unconditional_generation
