file,avg_perplexity,avg_style,avg_consistency,avg_accuracy,avg_ethics,average_gpt_score,average_binomial_z_score
glo_gamma=0.1_delta=0.5_tend=10_sampled_100.json,10.27704526901245,8.45,8.89,7.41,8.7,8.3625,0.28135564999858365
glo_gamma=0.1_delta=0.5_tend=160_sampled_100.json,9.9979287815094,8.3,8.75,7.41,8.69,8.2875,0.9248786131684595
glo_gamma=0.1_delta=0.5_tend=20_sampled_100.json,11.095251359939574,8.51,8.97,7.45,8.84,8.4425,0.542506547014306
glo_gamma=0.1_delta=0.5_tend=300_sampled_100.json,11.14919617652893,8.44,8.83,7.37,8.82,8.365,1.0137816277676173
glo_gamma=0.1_delta=0.5_tend=40_sampled_100.json,10.116161894798278,8.39,8.79,7.64,8.75,8.3925,0.8908306182585238
glo_gamma=0.1_delta=0.5_tend=5_sampled_100.json,9.714506299495698,8.33,8.67,7.26,8.61,8.2175,0.1284295466420952
glo_gamma=0.1_delta=0.5_tend=80_sampled_100.json,10.519883630275727,8.31,8.74,7.23,8.58,8.215,0.9903022351132398
glo_gamma=0.1_delta=1_tend=10_sampled_100.json,11.940148656368256,8.47,8.84,7.71,8.84,8.465,0.4362457516019502
glo_gamma=0.1_delta=1_tend=160_sampled_100.json,10.8445716881752,8.47,8.95,7.41,8.65,8.37,1.4930122709471052
glo_gamma=0.1_delta=1_tend=20_sampled_100.json,10.562285187244415,8.4,8.81,7.36,8.98,8.3875,0.6580600650172005
glo_gamma=0.1_delta=1_tend=300_sampled_100.json,10.92409958600998,8.32,8.76,7.3,8.65,8.2575,1.362108282246718
glo_gamma=0.1_delta=1_tend=40_sampled_100.json,10.737887833118439,8.36,8.7,7.49,8.55,8.275,1.393899163872243
glo_gamma=0.1_delta=1_tend=5_sampled_100.json,10.19269377708435,8.43,8.97,7.4,8.74,8.385,0.2934258970939945
glo_gamma=0.1_delta=1_tend=80_sampled_100.json,10.685824313163756,8.38,8.73,7.45,8.88,8.36,1.4400352924296944
glo_gamma=0.1_delta=2_tend=10_sampled_100.json,10.460580968856812,8.42,8.94,7.36,8.86,8.395,0.5674148658151799
glo_gamma=0.1_delta=2_tend=160_sampled_100.json,11.386730227470398,8.33,8.69,7.34,8.79,8.2875,2.167474228594901
glo_gamma=0.1_delta=2_tend=20_sampled_100.json,11.01262200832367,8.42,8.75,7.25,8.68,8.275,1.0993715302677816
glo_gamma=0.1_delta=2_tend=300_sampled_100.json,12.661441289186477,8.857142857142858,9.392857142857142,8.0,9.071428571428571,2.4725,2.302234526782755
glo_gamma=0.1_delta=2_tend=40_sampled_100.json,11.66935905456543,8.295454545454545,8.75,7.5,8.795454545454545,3.6675,2.3529846432666885
glo_gamma=0.1_delta=2_tend=5_sampled_100.json,10.413875703811646,8.55,9.02,7.49,8.8,8.465,0.2645609644702558
glo_gamma=0.1_delta=2_tend=80_sampled_100.json,11.499917059233695,8.44,8.9,7.49,8.87,8.425,2.3679486058178436
glo_gamma=0.1_delta=4_tend=10_sampled_100.json,10.64275027513504,8.41,8.78,7.53,8.95,8.4175,0.8385534891322719
glo_gamma=0.1_delta=4_tend=160_sampled_100.json,12.121832346916198,8.3,8.67,7.16,8.57,8.175,3.9046907654491276
glo_gamma=0.1_delta=4_tend=20_sampled_100.json,11.459036993980408,8.43,8.75,7.74,8.97,8.4725,2.028937689252798
glo_gamma=0.1_delta=4_tend=300_sampled_100.json,13.217046463489533,8.35,8.58,7.45,8.86,8.31,4.222981569598998
glo_gamma=0.1_delta=4_tend=40_sampled_100.json,12.7116592335701,8.47,8.84,7.16,8.7,8.2925,4.179722560298017
glo_gamma=0.1_delta=4_tend=5_sampled_100.json,10.472243604660035,8.5,8.82,7.24,8.74,8.325,0.48439358030878865
glo_gamma=0.1_delta=4_tend=80_sampled_100.json,12.64700133085251,8.38,8.71,7.49,8.86,8.36,4.049908238613632
glo_gamma=0.1_delta=8_tend=10_sampled_100.json,10.634439859390259,8.45,8.72,7.36,8.68,8.3025,2.0111324990285997
glo_gamma=0.1_delta=8_tend=160_sampled_100.json,18.150237609148025,7.09,7.22,5.95,7.58,6.96,8.371970562293383
glo_gamma=0.1_delta=8_tend=20_sampled_100.json,11.14560735464096,7.96,8.22,6.68,8.26,7.78,4.516291279134615
glo_gamma=0.1_delta=8_tend=300_sampled_100.json,15.273861159086227,6.84,6.81,5.93,7.83,6.8525,8.260666444294728
glo_gamma=0.1_delta=8_tend=40_sampled_100.json,15.44608769416809,7.15,7.2,6.07,8.03,7.1125,8.457232751870889
glo_gamma=0.1_delta=8_tend=5_sampled_100.json,10.844336574077607,8.47,8.88,7.41,8.69,8.3625,1.1952912166458638
glo_gamma=0.1_delta=8_tend=80_sampled_100.json,20.100346944332124,7.25,7.23,5.99,8.02,7.1225,8.702169049227415
glo_gamma=0.25_delta=0.5_tend=10_sampled_100.json,11.149254305362701,8.55,8.98,7.57,8.8,8.475,0.4442334791034186
glo_gamma=0.25_delta=0.5_tend=160_sampled_100.json,10.322944464683532,8.42,8.72,7.27,8.47,8.22,1.334638693252935
glo_gamma=0.25_delta=0.5_tend=20_sampled_100.json,10.4356396818161,8.36,8.84,7.59,8.8,8.3975,0.7649248243858642
glo_gamma=0.25_delta=0.5_tend=300_sampled_100.json,10.728731845617295,8.26,8.69,7.22,8.69,8.215,1.4206715681113016
glo_gamma=0.25_delta=0.5_tend=40_sampled_100.json,10.717570884227753,8.41,8.71,7.33,8.68,8.2825,1.2861879962199367
glo_gamma=0.25_delta=0.5_tend=5_sampled_100.json,10.154164338111878,8.51,9.06,7.58,9.17,8.58,0.308475826593086
